"TIME","GEO","UNIT","PROD_NRG","ENGINE","Value","Flag and Footnotes"
"1993","Poland","Number","Diesel","Total",":",""
"1993","Portugal","Number","All Petroleum Products","Total",":",""
"1993","Portugal","Number","Diesel","Total",":",""
"1993","Romania","Number","All Petroleum Products","Total",":",""
"1993","Romania","Number","Diesel","Total",":",""
"1993","Slovenia","Number","All Petroleum Products","Total","577,654",""
"1993","Slovenia","Number","Diesel","Total","49,289",""
"1993","Slovakia","Number","All Petroleum Products","Total",":",""
"1993","Slovakia","Number","Diesel","Total",":",""
"1993","Finland","Number","All Petroleum Products","Total","1,715,000","d"
"1993","Finland","Number","Diesel","Total","143,000","d"
"1993","Sweden","Number","All Petroleum Products","Total","3,472,000",""
"1993","Sweden","Number","Diesel","Total","93,000",""
"1993","United Kingdom","Number","All Petroleum Products","Total","20,032,000",""
"1993","United Kingdom","Number","Diesel","Total","1,225,000",""
"1993","Iceland","Number","All Petroleum Products","Total","110,000",""
"1993","Iceland","Number","Diesel","Total","6,000",""
"1993","Liechtenstein","Number","All Petroleum Products","Total",":",""
"1993","Liechtenstein","Number","Diesel","Total",":",""
"1993","Norway","Number","All Petroleum Products","Total","1,565,000",""
"1993","Norway","Number","Diesel","Total","68,000","d"
"1993","Switzerland","Number","All Petroleum Products","Total","3,023,000",""
"1993","Switzerland","Number","Diesel","Total","86,000",""
"1993","Former Yugoslav Republic of Macedonia, the","Number","All Petroleum Products","Total","282,418",""
"1993","Former Yugoslav Republic of Macedonia, the","Number","Diesel","Total","6,073",""
"1993","Turkey","Number","All Petroleum Products","Total",":",""
"1993","Turkey","Number","Diesel","Total",":",""
"1994","Belgium","Number","All Petroleum Products","Total","2,853,000",""
"1994","Belgium","Number","Diesel","Total","1,306,000",""
"1994","Bulgaria","Number","All Petroleum Products","Total",":",""
"1994","Bulgaria","Number","Diesel","Total",":",""
"1994","Czech Republic","Number","All Petroleum Products","Total","2,729,374",""
"1994","Czech Republic","Number","Diesel","Total","185,783",""
"1994","Denmark","Number","All Petroleum Products","Total","1,534,000",""
"1994","Denmark","Number","Diesel","Total","76,000",""
"1994","Germany (until 1990 former territory of the FRG)","Number","All Petroleum Products","Total","34,394,000","d"
"1994","Germany (until 1990 former territory of the FRG)","Number","Diesel","Total","5,358,000","d"
"1994","Estonia","Number","All Petroleum Products","Total",":",""
"1994","Estonia","Number","Diesel","Total",":",""
"1994","Ireland","Number","All Petroleum Products","Total","813,537",""
"1994","Ireland","Number","Diesel","Total","123,787",""
"1994","Greece","Number","All Petroleum Products","Total","2,043,000",""
"1994","Greece","Number","Diesel","Total","28,000",""
"1994","Spain","Number","All Petroleum Products","Total","11,928,000",""
"1994","Spain","Number","Diesel","Total","1,806,000",""
"1994","France","Number","All Petroleum Products","Total",":",""
"1994","France","Number","Diesel","Total","6,938,000",""
"1994","Croatia","Number","All Petroleum Products","Total","572,000",""
"1994","Croatia","Number","Diesel","Total","126,000",""
"1994","Italy","Number","All Petroleum Products","Total",":",""
"1994","Italy","Number","Diesel","Total",":",""
"1994","Cyprus","Number","All Petroleum Products","Total","195,000",""
"1994","Cyprus","Number","Diesel","Total","15,000",""
"1994","Latvia","Number","All Petroleum Products","Total","247,400",""
"1994","Latvia","Number","Diesel","Total","4,000",""
"1994","Lithuania","Number","All Petroleum Products","Total",":",""
"1994","Lithuania","Number","Diesel","Total",":",""
"1994","Luxembourg","Number","All Petroleum Products","Total","188,000",""
"1994","Luxembourg","Number","Diesel","Total","40,000",""
"1994","Hungary","Number","All Petroleum Products","Total",":",""
"1994","Hungary","Number","Diesel","Total","151,000",""
"1994","Malta","Number","All Petroleum Products","Total",":",""
"1994","Malta","Number","Diesel","Total",":",""
"1994","Netherlands","Number","All Petroleum Products","Total","4,596,000",""
"1994","Netherlands","Number","Diesel","Total","608,000",""
"1994","Austria","Number","All Petroleum Products","Total","2,762,000",""
"1994","Austria","Number","Diesel","Total","717,000",""
"1994","Poland","Number","All Petroleum Products","Total",":",""
"1994","Poland","Number","Diesel","Total",":",""
"1994","Portugal","Number","All Petroleum Products","Total",":",""
"1994","Portugal","Number","Diesel","Total",":",""
"1994","Romania","Number","All Petroleum Products","Total",":",""
"1994","Romania","Number","Diesel","Total",":",""
"1994","Slovenia","Number","All Petroleum Products","Total","602,579",""
"1994","Slovenia","Number","Diesel","Total","53,024",""
"1994","Slovakia","Number","All Petroleum Products","Total",":",""
"1994","Slovakia","Number","Diesel","Total",":",""
"1994","Finland","Number","All Petroleum Products","Total","1,717,000","d"
"1994","Finland","Number","Diesel","Total","141,000","d"
"1994","Sweden","Number","All Petroleum Products","Total","3,499,000",""
"1994","Sweden","Number","Diesel","Total","95,000",""
"1994","United Kingdom","Number","All Petroleum Products","Total","20,090,000",""
"1994","United Kingdom","Number","Diesel","Total","1,608,000",""
"1994","Iceland","Number","All Petroleum Products","Total","110,000",""
"1994","Iceland","Number","Diesel","Total","6,000",""
"1994","Liechtenstein","Number","All Petroleum Products","Total",":",""
"1994","Liechtenstein","Number","Diesel","Total",":",""
"1994","Norway","Number","All Petroleum Products","Total","1,577,000",""
"1994","Norway","Number","Diesel","Total","77,000","d"
"1994","Switzerland","Number","All Petroleum Products","Total","3,073,000",""
"1994","Switzerland","Number","Diesel","Total","91,000",""
"1994","Former Yugoslav Republic of Macedonia, the","Number","All Petroleum Products","Total","256,145",""
"1994","Former Yugoslav Republic of Macedonia, the","Number","Diesel","Total","5,800",""
"1994","Turkey","Number","All Petroleum Products","Total",":",""
"1994","Turkey","Number","Diesel","Total",":",""
"1995","Belgium","Number","All Petroleum Products","Total","2,828,000","d"
"1995","Belgium","Number","Diesel","Total","1,394,000","d"
"1995","Bulgaria","Number","All Petroleum Products","Total",":",""
"1995","Bulgaria","Number","Diesel","Total",":",""
"1995","Czech Republic","Number","All Petroleum Products","Total","2,833,720",""
"1995","Czech Republic","Number","Diesel","Total","200,810",""
"1995","Denmark","Number","All Petroleum Products","Total","1,600,000",""
"1995","Denmark","Number","Diesel","Total","78,000",""
"1995","Germany (until 1990 former territory of the FRG)","Number","All Petroleum Products","Total","34,855,000","d"
"1995","Germany (until 1990 former territory of the FRG)","Number","Diesel","Total","5,545,000","d"
"1995","Estonia","Number","All Petroleum Products","Total",":",""
"1995","Estonia","Number","Diesel","Total",":",""
"1995","Ireland","Number","All Petroleum Products","Total","853,600",""
"1995","Ireland","Number","Diesel","Total","135,300",""
"1995","Greece","Number","All Petroleum Products","Total","2,173,000",""
"1995","Greece","Number","Diesel","Total","29,000",""
"1995","Spain","Number","All Petroleum Products","Total","12,153,000",""
"1995","Spain","Number","Diesel","Total","2,059,000",""
"1995","France","Number","All Petroleum Products","Total",":",""
"1995","France","Number","Diesel","Total","6,938,000",""
"1995","Croatia","Number","All Petroleum Products","Total","583,000",""
"1995","Croatia","Number","Diesel","Total","128,000",""
"1995","Italy","Number","All Petroleum Products","Total","25,769,000",""
"1995","Italy","Number","Diesel","Total","3,099,000",""
"1995","Cyprus","Number","All Petroleum Products","Total","203,000",""
"1995","Cyprus","Number","Diesel","Total","17,000",""
"1995","Latvia","Number","All Petroleum Products","Total","325,000",""
"1995","Latvia","Number","Diesel","Total","7,000",""
"1995","Lithuania","Number","All Petroleum Products","Total",":",""
"1995","Lithuania","Number","Diesel","Total",":",""
"1995","Luxembourg","Number","All Petroleum Products","Total",":",""
"1995","Luxembourg","Number","Diesel","Total",":",""
