"TIME","GEO","UNIT","PROD_NRG","Value","Flag and Footnotes"
"1992","Austria","Thousand","Natural Gas",":",""
"1992","Austria","Thousand","Electrical Energy",":",""
"1992","Austria","Thousand","Other products",":",""
"1992","Poland","Thousand","LPG",":",""
"1992","Poland","Thousand","Natural Gas",":",""
"1992","Poland","Thousand","Electrical Energy",":",""
"1992","Poland","Thousand","Other products",":",""
"1992","Portugal","Thousand","LPG",":",""
"1992","Portugal","Thousand","Natural Gas",":",""
"1992","Portugal","Thousand","Electrical Energy",":",""
"1992","Portugal","Thousand","Other products",":",""
"1992","Romania","Thousand","LPG",":",""
"1992","Romania","Thousand","Natural Gas",":",""
"1992","Romania","Thousand","Electrical Energy",":",""
"1992","Romania","Thousand","Other products",":",""
"1992","Slovenia","Thousand","LPG",":",""
"1992","Slovenia","Thousand","Natural Gas",":",""
"1992","Slovenia","Thousand","Electrical Energy",":",""
"1992","Slovenia","Thousand","Other products",":",""
"1992","Slovakia","Thousand","LPG",":",""
"1992","Slovakia","Thousand","Natural Gas",":",""
"1992","Slovakia","Thousand","Electrical Energy",":",""
"1992","Slovakia","Thousand","Other products",":",""
"1992","Finland","Thousand","LPG",":",""
"1992","Finland","Thousand","Natural Gas","0",""
"1992","Finland","Thousand","Electrical Energy","0",""
"1992","Finland","Thousand","Other products",":",""
"1992","Sweden","Thousand","LPG",":",""
"1992","Sweden","Thousand","Natural Gas",":",""
"1992","Sweden","Thousand","Electrical Energy",":",""
"1992","Sweden","Thousand","Other products",":",""
"1992","United Kingdom","Thousand","LPG",":",""
"1992","United Kingdom","Thousand","Natural Gas",":",""
"1992","United Kingdom","Thousand","Electrical Energy",":",""
"1992","United Kingdom","Thousand","Other products",":",""
"1992","Iceland","Thousand","LPG",":",""
"1992","Iceland","Thousand","Natural Gas",":",""
"1992","Iceland","Thousand","Electrical Energy","0",""
"1992","Iceland","Thousand","Other products",":",""
"1992","Liechtenstein","Thousand","LPG",":",""
"1992","Liechtenstein","Thousand","Natural Gas",":",""
"1992","Liechtenstein","Thousand","Electrical Energy",":",""
